SIZE_N,MOVES
559,36343929
560,20073101
561,30360613
562,20959565
563,27594699
564,15572220
565,35958363
566,19150768
567,30205798
568,18458520
569,32136314
570,16042737
571,37046080
572,15633498
573,43285798
574,19737405
575,27651922
576,22481744
577,32036113
578,22455021
579,34537045
580,19434592
581,32913834
582,21004095
583,31544476
584,18110763
585,34477544
586,20846532
587,37667333
588,17037122
589,33045479
590,20526294
591,42565075
592,23126261
593,32452221
594,17715908
595,41511171
596,21493061
597,32345802
598,23653777
599,35636239
600,19804422
601,32657117
602,20215505
603,37664139
604,22516779
605,41238592
606,18006098
607,39769436
608,21463301
609,33843447
610,23714767
611,37367846
612,21834266
613,32556966
614,19843434
615,40267560
616,23306350
617,36957388
618,25325882
619,40153570
620,19356079
621,38167094
622,21649149
623,37017874
624,23156965
625,38895285
626,27383192
627,36800602
628,28917634
629,48185726
630,26541824
631,43736439
632,24602380
633,39792879
634,23288922
635,38038298
636,26718625
637,50863755
638,25002316
639,52443191
640,21449780
641,42377148
642,21391989
643,42981505
644,21310754
645,47891581
646,27501590
647,36633308
648,23418100
649,36768621
650,26533405
651,44343273
652,21933835
653,40408637
654,25196936
655,47814011
656,24045340
657,39165384
658,28353383
659,49601218
660,27471376
661,45345392
662,22152689
663,35852042
664,24935940
665,37790542
666,25195140
667,42904892
668,34553007
669,52894563
670,28546155
671,53443458
672,33853799
673,36976480
674,28851790
675,45282134
676,31714986
677,46045046
678,30702287
679,42951386
680,29266273
681,44131685
682,31689824
683,50732320
684,31947940
685,54455742
686,29515801
687,39756079
688,32497360
689,64044800
690,32164118
691,44001461
692,34714728
693,50611027
694,27994794
695,48640908
696,27966482
697,51729659
698,29256978
699,50965709
700,34338718
701,50440664
702,39753106
703,51257127
704,34510143
705,72877464
706,28794511
707,52941615
708,26151068
709,56342077
710,31391346
711,47975577
712,31367132
713,48884234
714,27287483
715,57965036
716,29776663
717,48442654
718,36126600
719,52286900
720,32057678
721,54658452
722,33697211
723,60923689
724,29112544
725,45823337
726,39803908
727,58130410
728,33981860
729,61350546
730,32974069
731,72630668
732,32162449
733,53980059
734,35902949
735,54050926
736,29861005
737,72092199
738,35831420
739,63885068
740,31951792
741,56874492
742,37265459
743,56589084
744,33374398
745,63813811
746,36152952
747,51739164
748,35463840
749,53821545
750,35648734
751,59455242
752,34858055
753,56816233
754,38524851
755,84547266
756,32987331
757,64378538
758,32570919
759,49297093
760,40959779
761,61927044
762,33561573
763,85972784
764,31667182
765,74436154
766,30284789
767,56624346
768,32856059
769,87731031
770,41849471
771,57009813
772,36576528
773,59146769
774,41136320
775,68020071
776,41301394
777,56984674
778,38390784
779,72551918
780,33287068
781,73506008
782,45231791
783,61721533
784,36644769
785,72265617
786,41216507
787,76652756
788,41098456
789,70756160
790,42570176
791,67753682
792,40313343
793,81534912
794,42089300
795,66412469
796,41356040
797,60803518
798,50277470
799,69584072
800,44228407
801,69518187
802,37853008
803,74003648
804,48925779
805,65625418
806,40776093
807,68771034
808,43353585
809,74482872
810,47634480
811,74262585
812,49157424
813,65808167
814,49547659
815,69384386
816,44039788
817,75214485
818,38472642
819,75574468
820,42087496
821,70560826
822,37903777
823,59377593
824,40991559
825,73426727
826,44325920
827,64440367
828,38064250
829,78467404
830,45027992
831,79423459
832,42113534
833,80720948
834,44503107
835,89622786
836,44284400
837,94408688
838,46879014
839,87236745
840,57366527
841,84208073
842,53911826
843,85992315
844,37625720
845,83984306
846,52314582
847,80246213
848,42232116
849,80342914
850,45295946
851,83520205
852,47496068
853,80005978
854,48743076
855,81814360
856,46884673
857,78364346
858,44110977
859,71408937
860,60743272
861,92896968
862,58681124
863,75531202
864,48883788
865,76199025
866,45346023
867,69243264
868,44233032
869,93674514
870,47674751
871,91437418
872,46573746
873,92827302
874,54393570
875,90640503
876,46298947
877,73800717
878,46346846
879,97911708
880,45492568
881,110403921
882,59993127
883,86284195
884,50854226
885,94629550
886,49671931
887,81767884
888,49341291
889,94833616
890,57129403
891,82840142
892,45525961
893,85206536
894,45201530
895,106468035
896,56323503
897,95864922
898,52353186
899,103273723
900,57809382
901,92038772
902,51608255
903,94817233
904,59492537
905,97537036
906,50410138
907,112154085
908,65626413
909,98553911
910,52561447
911,93913212
912,56382704
913,87234286
914,74087797
915,105919175
916,60091784
917,107862895
918,54404813
919,91920193
920,50691358
921,95166980
922,54544808
923,98690937
924,74606797
925,96779374
926,55589257
927,95950003
928,60829194
929,99553041
930,59752027
931,117678756
932,61722409
933,92313555
934,69407781
935,106196765
936,60957197
937,124035952
938,65331227
939,100061152
940,54420561
941,94664676
942,69076928
943,108058446
944,56922954
945,107694451
946,60184893
947,126121624
948,72346007
949,101441646
950,67777895
951,104054925
952,62129761
953,96941825
954,81611018
955,120721543
956,62860792
957,114941621
958,59157387
959,122540015
960,64072985
961,114702444
962,78035169
963,150016802
964,65673818
965,95130384
966,63128053
967,136161342
968,70625799
969,135338071
970,60757276
971,114007108
972,73605465
973,106813708
974,65910079
975,105869267
976,86049205
977,127374579
978,76940632
979,117040793
980,64892945
981,114623411
982,59365504
983,115712849
984,62481516
985,119386652
986,78236133
987,119299412
988,57358933
989,142889230
990,74092452
991,130899579
992,66010065
993,107981578
994,61760168
995,126132341
996,75747027
997,129990541
998,67494409
999,149900152
1000,60821952
